Chinese gloss	English gloss	Language	Word	Source	Page no.
桃子	peach	Proto-Bai	dɔ¹	Wang (2006)	186
柿子	persimmon	Proto-Bai	tʰjæ⁴	Wang (2006)	186
板栗	Chinese chestnut	Proto-Bai	tsʰji¹	Wang (2006)	186
水稻	paddy rice	Proto-Bai	sɔ⁴	Wang (2006)	186
谷	paddy rice	Proto-Bai	ɢɔ¹	Wang (2006)	186
糯米	glutinous rice	Proto-Bai	suŋ²	Wang (2006)	186
种子	seed	Proto-Bai	tsruŋ²	Wang (2006)	186
秧	(rice) seedling	Proto-Bai	dzri¹	Wang (2006)	186
穗	ear; spike	Proto-Bai	truæn²	Wang (2006)	186
稻草	rice straw	Proto-Bai	ma⁴	Wang (2006)	186
小麦	wheat	Proto-Bai	mɯ⁴	Wang (2006)	186
大麦	barley	Proto-Bai	zɔ¹	Wang (2006)	186
蓠麦	buckwheat	Proto-Bai	go¹	Wang (2006)	186
麦桔	wheat straw	Proto-Bai	mɯ⁴qua⁴	Wang (2006)	186
麻	hemp	Proto-Bai	si²	Wang (2006)	186
蔬菜	vegetable	Proto-Bai	tsʰɯ³	Wang (2006)	186
葱	onion; scallion	Proto-Bai	tsʰuŋ¹	Wang (2006)	186
蒜	garlic	Proto-Bai	sʰuaŋ³	Wang (2006)	186
姜	ginger	Proto-Bai	koŋ¹	Wang (2006)	187
豆	pea; bean	Proto-Bai	dɯ⁵	Wang (2006)	187
蘑菇	mushroom	Proto-Bai	sreŋ²	Wang (2006)	187
米	rice	Proto-Bai	mɛ²	Wang (2006)	187
肉	meat	Proto-Bai	ɢæ¹	Wang (2006)	187
脂肪	grease, fat	Proto-Bai	tsri¹	Wang (2006)	187
清油	vegetable oil	Proto-Bai	jɯ¹ᵇ	Wang (2006)	187
花椒	seed of Chinese prickly ash	Proto-Bai	sru¹	Wang (2006)	187
蛋	egg	Proto-Bai	sen⁵	Wang (2006)	187
汤	soup	Proto-Bai	xæn¹	Wang (2006)	187
酒	alcoholic beverage	Proto-Bai	tsuŋ²	Wang (2006)	187
茶	tea	Proto-Bai	drɔ¹	Wang (2006)	187
药	medicine	Proto-Bai	jɔ⁴	Wang (2006)	187
糠	chaff; bran	Proto-Bai	tʰroŋ¹	Wang (2006)	187
线	thread	Proto-Bai	xɯ²	Wang (2006)	187
布	cloth	Proto-Bai	sʰɛ⁴	Wang (2006)	187
鞋	shoe	Proto-Bai	ʁɛ¹	Wang (2006)	187
梳子	comb	Proto-Bai	sro¹	Wang (2006)	187
耳环	earrings	Proto-Bai	ɢoŋ¹	Wang (2006)	187
枕头	pillow	Proto-Bai	tsren²	Wang (2006)	187
蓑衣	straw or palm-bark rain cape	Proto-Bai	bri³	Wang (2006)	188
房子	house	Proto-Bai	hɔ³	Wang (2006)	188
瓦	tile	Proto-Bai	ŋuæ⁵	Wang (2006)	188
木头		Proto-Bai	ɢua⁴	Wang (2006)	188
木板	plank; board	Proto-Bai	pæn²	Wang (2006)	188
柱子	pillar	Proto-Bai	drɯ²	Wang (2006)	188
门	door	Proto-Bai	mɛ¹ᵇ	Wang (2006)	188
园子	garden (plot)	Proto-Bai	suaŋ¹	Wang (2006)	188
床	bed	Proto-Bai	droŋ¹	Wang (2006)	188
柴	firewood	Proto-Bai	sjen¹	Wang (2006)	188
灶	cooking stove; kitchen range	Proto-Bai	tso⁵	Wang (2006)	188
蒸笼	bamboo food steamer	Proto-Bai	ŋuen¹	Wang (2006)	188
勺子	ladle	Proto-Bai	dro⁴	Wang (2006)	188
筷子	chopsticks	Proto-Bai	dzro³	Wang (2006)	188
壶	kettle; pot	Proto-Bai	bjɛ⁴	Wang (2006)	188
缸	vat; jar	Proto-Bai	kaŋ¹	Wang (2006)	188
利息	interest	Proto-Bai	bɯ¹	Wang (2006)	188
针	needle	Proto-Bai	tsreŋ¹	Wang (2006)	188
钉子	nail; tack	Proto-Bai	tɕæŋ¹	Wang (2006)	188
钥匙	key	Proto-Bai	dro⁴	Wang (2006)	189
棍子	stick	Proto-Bai	ɢua⁴	Wang (2006)	189
鞭子	whip	Proto-Bai	prɔ¹	Wang (2006)	189
船	boat; ship	Proto-Bai	jen¹ᵇ	Wang (2006)	189
斧头	axe	Proto-Bai	pɯ²	Wang (2006)	189
凿子	chisel	Proto-Bai	dzo⁴	Wang (2006)	189
锯子	saw	Proto-Bai	pjo⁵	Wang (2006)	189
铧	ploughshare	Proto-Bai	tɕi¹kuɛ¹	Wang (2006)	189
锄头	hoe (large)	Proto-Bai	dzruŋ¹	Wang (2006)	189
绳子	rope	Proto-Bai	sʰo⁴	Wang (2006)	189
肥料	fertilizer; manure	Proto-Bai	tɕʰi¹	Wang (2006)	189
镰刀	sickle	Proto-Bai	jen¹ᵇ	Wang (2006)	189
碓(水碓)	trip-hammer for hulling rice	Proto-Bai	duɛ⁵	Wang (2006)	189
筛子	sieve; sifter	Proto-Bai	lɔ¹ᵇ	Wang (2006)	189
簸箕	winnowing fan	Proto-Bai	mo²tɕi¹	Wang (2006)	189
箭	arrow	Proto-Bai	tsjen⁵	Wang (2006)	189
纸	paper	Proto-Bai	tsri²	Wang (2006)	189
话	speech; words; language	Proto-Bai	doŋ¹	Wang (2006)	190
鼓	drum	Proto-Bai	ɢuŋ²	Wang (2006)	190
鬼	ghost; spirit	Proto-Bai	kro²	Wang (2006)	190
灵魂	(soul); spirit	Proto-Bai	pʰæn³man³	Wang (2006)	190
名字	name	Proto-Bai	mjæ¹	Wang (2006)	190
痕迹	trace; track	Proto-Bai	tsuŋ¹	Wang (2006)	190
影子	shadow	Proto-Bai	qæn¹	Wang (2006)	190
梦	dream	Proto-Bai	mɯ⁵	Wang (2006)	190
方向	direction; orientation	Proto-Bai	pjɛ²	Wang (2006)	190
左边	left	Proto-Bai	pri¹(ᵃ)	Wang (2006)	190
后边	back, behind	Proto-Bai	ɣɯ²	Wang (2006)	190
外边	outside	Proto-Bai	ŋua⁴	Wang (2006)	190
上方(地势;河流)	the upper part; up reaches; above	Proto-Bai	djoŋ²	Wang (2006)	190
今天	today	Proto-Bai	qæn¹	Wang (2006)	190
昨天	yesterday	Proto-Bai	dʑen¹	Wang (2006)	190
晩上	at night; in the evening	Proto-Bai	pɛ²	Wang (2006)	191
属相	the 12 animals representing the 12 years	Proto-Bai	dzro⁴	Wang (2006)	191
月	month	Proto-Bai	ŋua⁴	Wang (2006)	191
明年	next year	Proto-Bai	back+year	Wang (2006)	191
一	one	Proto-Bai	ʔa⁴	Wang (2006)	191
二	two	Proto-Bai	koŋ²	Wang (2006)	191
三	three	Proto-Bai	sʰaŋ¹	Wang (2006)	191
四	four	Proto-Bai	sji⁴	Wang (2006)	191
五	five	Proto-Bai	ŋu²	Wang (2006)	191
六	six	Proto-Bai	pjo⁴	Wang (2006)	191
七	seven	Proto-Bai	tsʰji⁴	Wang (2006)	191
八	eight	Proto-Bai	pra⁴	Wang (2006)	191
九	nine	Proto-Bai	tɕɯ²	Wang (2006)	191
十	ten	Proto-Bai	dzri⁴	Wang (2006)	191
十二	twelve	Proto-Bai	ten'+ne⁴	Wang (2006)	191
百	hundred	Proto-Bai	pæ⁴	Wang (2006)	191
千	thousand	Proto-Bai	tsjʰen¹	Wang (2006)	191
一半	a half	Proto-Bai	pjo²	Wang (2006)	191
张(纸)	classifier	Proto-Bai	troŋ¹	Wang (2006)	191
只(鸟)	classifier	Proto-Bai	djɯ¹	Wang (2006)	191
粒(米)	classifier	Proto-Bai	qʰɔ²	Wang (2006)	192
棵(树)	classifier	Proto-Bai	drɯ³	Wang (2006)	192
把(菜)	classifier	Proto-Bai	tsʰua⁴	Wang (2006)	192
件(衣服)	classifier	Proto-Bai	kʰoŋ¹	Wang (2006)	192
背(柴)	classifier	Proto-Bai	bjo²	Wang (2006)	192
袋(米)	classifier	Proto-Bai	noŋ¹ᵇ	Wang (2006)	192
间(房)	classifier	Proto-Bai	qæn¹	Wang (2006)	192
两	classifier	Proto-Bai	noŋ³	Wang (2006)	192
庹	classifier	Proto-Bai	zen¹	Wang (2006)	192
天	day	Proto-Bai	nji⁴	Wang (2006)	192
岁	a year old	Proto-Bai	sʰua⁴	Wang (2006)	192
步	step	Proto-Bai	pu³	Wang (2006)	192
我	I	Proto-Bai	C-ŋɔ³	Wang (2006)	192
你	you	Proto-Bai	nɔ³	Wang (2006)	192
他	he	Proto-Bai	bɔ³	Wang (2006)	192
大	big	Proto-Bai	dɔ⁵	Wang (2006)	192
粗	wide	Proto-Bai	tsʰru¹	Wang (2006)	192
高	high	Proto-Bai	qaŋ¹	Wang (2006)	192
低(矮)	low; short	Proto-Bai	bri²	Wang (2006)	192
长	long	Proto-Bai	droŋ¹	Wang (2006)	192
远	far	Proto-Bai	tuen²	Wang (2006)	192
近	near	Proto-Bai	dʑen²	Wang (2006)	192
宽	wide	Proto-Bai	qʰua⁴	Wang (2006)	192
窄	narrow	Proto-Bai	træ⁴	Wang (2006)	192
厚	thick	Proto-Bai	ɢɯ²	Wang (2006)	192
深	deep	Proto-Bai	sʰreŋ¹	Wang (2006)	193
空	empty	Proto-Bai	qʰoŋ¹	Wang (2006)	193
多	many	Proto-Bai	tjɯ¹	Wang (2006)	193
圆	round	Proto-Bai	ʁuen¹ᵇ	Wang (2006)	193
平	smooth	Proto-Bai	bæŋ¹	Wang (2006)	193
偏	slanting; learning	Proto-Bai	qʰuæ¹	Wang (2006)	193
竖	vertical, be standing	Proto-Bai	tuen¹	Wang (2006)	193
直	straight	Proto-Bai	tuen¹	Wang (2006)	193
弯	curved; crooked; bent	Proto-Bai	kʰo⁴	Wang (2006)	193
黑	black	Proto-Bai	χɯ⁴	Wang (2006)	193
白	white	Proto-Bai	bæ⁴	Wang (2006)	193
红	red	Proto-Bai	tʰræ⁴	Wang (2006)	193
黄	yellow	Proto-Bai	ʁoŋ¹ᵇ	Wang (2006)	193
暗	dark	Proto-Bai	χɯ⁴	Wang (2006)	193
重	heavy	Proto-Bai	dzruŋ²	Wang (2006)	193
轻	light	Proto-Bai	tʰræn¹	Wang (2006)	193
早	early	Proto-Bai	tsu²	Wang (2006)	193
迟;晩了	late	Proto-Bai	mɛ²	Wang (2006)	193
尖;锋利	sharp	Proto-Bai	ji³	Wang (2006)	193
浑浊	muddy; turbid	Proto-Bai	dzruŋ⁴	Wang (2006)	193
乾	dry	Proto-Bai	qaŋ¹	Wang (2006)	193
稀(粥)	watery/thin (porridge)	Proto-Bai	tsʰjæn¹	Wang (2006)	193
软	soft	Proto-Bai	pʰæ¹	Wang (2006)	194
对	correct; right	Proto-Bai	hɔ¹	Wang (2006)	194
真	real	Proto-Bai	tsreŋ¹	Wang (2006)	194
假	fraud	Proto-Bai	tɕa³	Wang (2006)	194
新	new	Proto-Bai	sʰjen¹	Wang (2006)	194
旧	used, old	Proto-Bai	gɯ̃³	Wang (2006)	194
好	good	Proto-Bai	dræn¹	Wang (2006)	194
坏	bad (things)	Proto-Bai	que³(ᵃ)	Wang (2006)	194
嫩(植物)	tender young (plant)	Proto-Bai	njeŋ¹ᵇ	Wang (2006)	194
热	hot	Proto-Bai	nje⁴	Wang (2006)	194
冷	cold	Proto-Bai	kɯ¹(thing); gæ¹(weather, feeling)	Wang (2006)	194
温(水)	lukewarm	Proto-Bai	ʔuen¹	Wang (2006)	194
容易	easy	Proto-Bai	ɣo⁴	Wang (2006)	194
香	fragrant (smell)	Proto-Bai	ɕoŋ¹	Wang (2006)	194
臭	stinking; smelly	Proto-Bai	tʰru³	Wang (2006)	194
酸	sour	Proto-Bai	sʰuaŋ¹	Wang (2006)	194
苦	bitter	Proto-Bai	qʰu²	Wang (2006)	194
咸	salty	Proto-Bai	tsʰoŋ³	Wang (2006)	194
涩	astringent; like unripe	Proto-Bai	sri⁴	Wang (2006)	195
富	rich	Proto-Bai	gɔ¹	Wang (2006)	195
死	dead	Proto-Bai	sji²	Wang (2006)	195
响	loud	Proto-Bai	mæ¹ᵇ	Wang (2006)	195
陡峭	cliffy; precipitous	Proto-Bai	pʰræ¹	Wang (2006)	195
爱	love; like	Proto-Bai	gɔ¹	Wang (2006)	195
按	press (with palm of finger)	Proto-Bai	ja⁴	Wang (2006)	195
拔(草)	pull up (weeds)	Proto-Bai	bræ⁴	Wang (2006)	195
耙(田)	to rake (the fields)	Proto-Bai	bæ¹	Wang (2006)	195
绑	bind; tie up	Proto-Bai	bjo⁴	Wang (2006)	195
饱	have eaten one’s fill	Proto-Bai	pɯ²	Wang (2006)	195
抱	hug	Proto-Bai	bɯ²/pɯ¹	Wang (2006)	195
背	carry (a child) one the back	Proto-Bai	m-pa³	Wang (2006)	195
背	carry (shoulder)	Proto-Bai	bjo²	Wang (2006)	195
闭(口)	close (the mouth)	Proto-Bai	me¹ᵃ	Wang (2006)	195
编(办子)	to plait	Proto-Bai	pren¹	Wang (2006)	195
变化	change	Proto-Bai	prcn⁵	Wang (2006)	195
病	to be ill	Proto-Bai	bæn³	Wang (2006)	195
补(衣服)	patch (clothing)	Proto-Bai	pu²	Wang (2006)	196
踩	step on; tread	Proto-Bai	da⁴	Wang (2006)	196
藏(东西)	hide	Proto-Bai	dzoŋ¹	Wang (2006)	196
插(牌子)	to poke; insert	Proto-Bai	bɛ⁴	Wang (2006)	196
插(秧)	transplant (rice seedling); insert	Proto-Bai	pʰjen¹	Wang (2006)	196
拆(衣服)	unseam (clothing)	Proto-Bai	tʰje⁴	Wang (2006)	196
炒	stir-fry, stir	Proto-Bai	tʰru²	Wang (2006)	196
称(粮食)	weigh (food)	Proto-Bai	tsʰuen¹	Wang (2006)	196
盛(饭)	fill (a bowl with rice)	Proto-Bai	qɯ¹	Wang (2006)	196
吃	eat	Proto-Bai	jɯ⁴	Wang (2006)	196
穿(鞋)	put on (the shoes)	Proto-Bai	tro⁴	Wang (2006)	196
吹(喇叭)	blow (the trumpet)	Proto-Bai	pʰɯ¹	Wang (2006)	196
搓(绳)	twist (hemp fibers)	Proto-Bai	tsʰo⁴	Wang (2006)	196
打架	fight	Proto-Bai	tæŋ⁴	Wang (2006)	196
打赌	to bet	Proto-Bai	tu²	Wang (2006)	196
打雷	to thunder	Proto-Bai	sky+cry	Wang (2006)	196
戴(帽子)	wear (a hat)	Proto-Bai	tjɯ⁵	Wang (2006)	197
戴(手镯)	wear (a bracelet)	Proto-Bai	tro⁴	Wang (2006)	197
挡(风)	to block (the wind)	Proto-Bai	be²	Wang (2006)	197
得到	get; acquire	Proto-Bai	tɯ⁴	Wang (2006)	197
等待	wait	Proto-Bai	djɯ²	Wang (2006)	197
地震	earthquake	Proto-Bai	'earth'+'wag'	Wang (2006)	197
燃烧	to burn	Proto-Bai	ʂu¹(ᵃ)	Wang (2006)	197
燃烧	to burn	Proto-Bai	nji²(ᵇ)	Wang (2006)	197
掉(下)	to drop	Proto-Bai	dua⁴	Wang (2006)	197
读	read	Proto-Bai	ʁɯ⁴	Wang (2006)	197
饿	be hungry	Proto-Bai	tɕɯ¹	Wang (2006)	197
飞	fly	Proto-Bai	pje¹	Wang (2006)	197
分(东西)	divide; share (things)	Proto-Bai	pjen¹	Wang (2006)	197
盖(被)	pull (a quilt) over oneself	Proto-Bai	tʰa⁴	Wang (2006)	197
割(肉)	cut (meat)	Proto-Bai	sʰræ⁴	Wang (2006)	197
隔(河)	be on the other side of (a river)	Proto-Bai	qæ⁴	Wang (2006)	197
给	give	Proto-Bai	zɯ³	Wang (2006)	197
耕	plough; till	Proto-Bai	tso⁴	Wang (2006)	197
钩	to hook	Proto-Bai	qɯ¹	Wang (2006)	197
关(羊)	to pen in (sheep)	Proto-Bai	noŋ⁵	Wang (2006)	197
跪	kneel	Proto-Bai	groŋ³	Wang (2006)	198
喝	drink	Proto-Bai	ɣɯ²/ɯ̃²	Wang (2006)	198
换	to change	Proto-Bai	mɯ²	Wang (2006)	198
挥动	wave; wield	Proto-Bai	sreŋ¹	Wang (2006)	198
回	return	Proto-Bai	ja⁴	Wang (2006)	198
挤(奶)	squeeze (for milk)	Proto-Bai	tsuɛ⁴	Wang (2006)	198
系(腰带)	pick up (food with chopstick)	Proto-Bai	qʰoŋ¹	Wang (2006)	198
夹(菜)	pick up (food with chopstick)	Proto-Bai	ɢæ⁴	Wang (2006)	198
捡	pick up	Proto-Bai	dzri⁴	Wang (2006)	198
剪	scissor	Proto-Bai	ɢæ⁴	Wang (2006)	198
交换	exchange	Proto-Bai	mɯ²	Wang (2006)	198
浇(水)	to water/sprinkle/irrigate	Proto-Bai	ɔ⁴	Wang (2006)	198
教	teach	Proto-Bai	qaŋ¹	Wang (2006)	198
叫(狗)	to bark	Proto-Bai	bræ⁴	Wang (2006)	198
揭(盖子)	lift (the lid)	Proto-Bai	la¹ᵃ	Wang (2006)	198
借(钱)	to borrow (money)	Proto-Bai	tʰɯ̃⁴	Wang (2006)	198
借(工具)	to borrow (tools)	Proto-Bai	tɕæ¹	Wang (2006)	198
浸泡	soak; steep	Proto-Bai	dzi¹	Wang (2006)	198
居住	live; reside	Proto-Bai	ko⁵	Wang (2006)	199
锯	to saw	Proto-Bai	pjo⁵	Wang (2006)	199
开(门)	open	Proto-Bai	qʰɯ̃¹	Wang (2006)	199
开(水)	(water) be boiling	Proto-Bai	hua⁴	Wang (2006)	199
烤(火)	roast in fire	Proto-Bai	goŋ³	Wang (2006)	199
咳嗽	to cough	Proto-Bai	qʰɔ¹	Wang (2006)	199
渴	be thirsty	Proto-Bai	qʰa⁴	Wang (2006)	199
哭	cry	Proto-Bai	qʰɔ⁴	Wang (2006)	199
拉	pull; tug	Proto-Bai	dʑi²	Wang (2006)	199
辣	peppery	Proto-Bai	tsʰjen¹	Wang (2006)	199
老的	old	Proto-Bai	ku²	Wang (2006)	199
流水	(water flow)	Proto-Bai	gɯ¹	Wang (2006)	199
漏(水)	to leak	Proto-Bai	ɣɯ³	Wang (2006)	199
麻木	be numb	Proto-Bai	bri²	Wang (2006)	199
买	buy	Proto-Bai	mæ⁵	Wang (2006)	199
卖	sell	Proto-Bai	ɢɯ¹	Wang (2006)	199
鸣(鸟)	(birds) cry/chirp	Proto-Bai	mæ¹ᵇ	Wang (2006)	199
抿着(嘴)	close (the mouth) lightly	Proto-Bai	me¹ᵃ	Wang (2006)	199
摸	stroke; touch	Proto-Bai	mɔ⁴	Wang (2006)	199
磨(刀)	whet (a knife)	Proto-Bai	mɔ¹ᵇ	Wang (2006)	199
磨(面)	grind (flour)	Proto-Bai	tʰre⁴	Wang (2006)	199
拧(毛巾)	twist (a tower)	Proto-Bai	tsuɛ⁴	Wang (2006)	199
呕吐	vomit/throw up	Proto-Bai	kʰuɛ²	Wang (2006)	200
爬(人)	(people) crawl	Proto-Bai	mæ⁴	Wang (2006)	200
赔偿	compensate	Proto-Bai	bæ¹	Wang (2006)	200
劈(柴)	chop (firewood)	Proto-Bai	pʰɔ³	Wang (2006)	200
漂浮	float	Proto-Bai	bɯ¹	Wang (2006)	200
剖	cut/rip open	Proto-Bai	pʰæ⁴	Wang (2006)	200
铺	pave; lay	Proto-Bai	kʰuŋ¹	Wang (2006)	200
骑	ride	Proto-Bai	gɯ¹	Wang (2006)	200
牵(牛)	pull/lead (a cow) along	Proto-Bai	qʰen¹	Wang (2006)	200
欠(钱)	to owe (money)	Proto-Bai	bjɛ²	Wang (2006)	200
切(菜)	cut up (vegetable)	Proto-Bai	tsʰuaŋ²	Wang (2006)	200
痊愈(病)	fully recover (from an illness)	Proto-Bai	χɯ̃²	Wang (2006)	200
热(饭)	heat up (cold rice)	Proto-Bai	ʔuen¹	Wang (2006)	200
撒(尿)	piss; pee	Proto-Bai	srɯ²	Wang (2006)	200
撒(种)	scatter (seeds)	Proto-Bai	sa⁴	Wang (2006)	200
扫	seep	Proto-Bai	tʰro⁴	Wang (2006)	200
杀	kill	Proto-Bai	ɕʰa⁴	Wang (2006)	200
晒(衣服)	dry (clothes) in the sun	Proto-Bai	hɔ³	Wang (2006)	200
射(箭)	shoot (an arrow)	Proto-Bai	droŋ⁴	Wang (2006)	200
伸	stretch out (the arm)	Proto-Bai	tsʰren²	Wang (2006)	200
梳	to comb	Proto-Bai	sro⁵	Wang (2006)	201
输	lose (a game)	Proto-Bai	tsʰreŋ¹	Wang (2006)	201
熟(果子)	(fruit) be ripe	Proto-Bai	dzro⁴	Wang (2006)	201
甩	fling; toss	Proto-Bai	sreŋ¹	Wang (2006)	201
拴(牛)	tie (a cow) to	Proto-Bai	bjo⁴	Wang (2006)	201
吮	suck	Proto-Bai	tsji⁴	Wang (2006)	201
说	say	Proto-Bai	sua⁴	Wang (2006)	201
撕	tear up, rip	Proto-Bai	pʰe¹	Wang (2006)	201
死	die	Proto-Bai	sji²	Wang (2006)	201
锁(门)	lock (the door)	Proto-Bai	sɔ²	Wang (2006)	201
逃跑	escape; run away	Proto-Bai	mɯ¹ᵇ	Wang (2006)	201
痛(头痛)	(head) ache	Proto-Bai	suŋ³	Wang (2006)	201
剃(头)	shave (the head)	Proto-Bai	dʑæn³	Wang (2006)	201
舔	lick, lap	Proto-Bai	dzri²	Wang (2006)	201
听	listen	Proto-Bai	tɕʰæn¹	Wang (2006)	201
吐(痰)	spit	Proto-Bai	tsʰri¹	Wang (2006)	201
闻(嗅)	to smell	Proto-Bai	tʰru¹	Wang (2006)	201
问	ask; question	Proto-Bai	præ⁴	Wang (2006)	201
瞎	be blind	Proto-Bai	tæ¹	Wang (2006)	201
下(蛋)	lay (eggs)	Proto-Bai	sen⁵	Wang (2006)	202
下(雨)	(rain) fall	Proto-Bai	ɣu⁴	Wang (2006)	202
想	think	Proto-Bai	mi²	Wang (2006)	202
削	pare/peel with a knife	Proto-Bai	ɕʰo⁴	Wang (2006)	202
笑	laugh	Proto-Bai	sʰɔ³	Wang (2006)	202
压	press; push down	Proto-Bai	ja⁴	Wang (2006)	202
阉(鸡)		Proto-Bai	mjæn¹	Wang (2006)	202
癢	to itch/tickle	Proto-Bai	njoŋ²	Wang (2006)	202
舀(水)	scoop up (water); ladle out	Proto-Bai	qɯ¹	Wang (2006)	202
要	want; need	Proto-Bai	njoŋ⁴	Wang (2006)	202
有(钱)	have (you)	Proto-Bai	dʑɯ²	Wang (2006)	202
蜇(马蜂)	(wasps) sting	Proto-Bai	tʰro⁴	Wang (2006)	202
蒸	steam	Proto-Bai	drɯ̃¹	Wang (2006)	202
织	weave; knit	Proto-Bai	trɯ⁴	Wang (2006)	202
肿	swell	Proto-Bai	tsʰreŋ¹	Wang (2006)	202
拄	use or lean on (a walking stick)	Proto-Bai	trɯ²	Wang (2006)	202
煮	cook; boil	Proto-Bai	tsrɔ²	Wang (2006)	202
转(身)	turn around	Proto-Bai	dʐuen⁵?	Wang (2006)	202
捉	catch; capture	Proto-Bai	kæ⁴	Wang (2006)	202
坐	sit	Proto-Bai	ko⁵	Wang (2006)	203
泥鳅		Proto-Bai	ʔo⁴	Wang (2006)	203
腿	leg	Proto-Bai	qʰuæ³qɔ⁴	Wang (2006)	203
树皮	bark	Proto-Bai	tree+skin	Wang (2006)	203
甄子	jar	Proto-Bai	ŋuen¹ᵇ	Wang (2006)	203
价	price	Proto-Bai	qæ⁵	Wang (2006)	203
牛虱		Proto-Bai	pe¹	Wang (2006)	203
酒糟		Proto-Bai	pʰa¹	Wang (2006)	203
篾	bamboo piece	Proto-Bai	mi¹ᵇ	Wang (2006)	203
漆	paint	Proto-Bai	tsʰji⁴	Wang (2006)	203
嗦子	stomach	Proto-Bai	tsʰu³	Wang (2006)	203
蕨菜		Proto-Bai	kua⁴	Wang (2006)	203
薅(草)		Proto-Bai	qʰu¹	Wang (2006)	203
语言	(xx language)	Proto-Bai	ŋo³	Wang (2006)	203
