No.	Form	Language	Gloss (1)	Gloss (2)
V184.A	*to̱m	Proto-Mon	to cook, to distil	
V185	*ctəm	Proto-Monic	to be thick; fat, dull-witted, stupid	(cloth, plank, hair) to be thick (Intransitive Verb)
V185.B	*cətə̱m	Proto-Nyah Kur	(cloth, plank, hair) to be thick (Intransitive Verb)	
V185.A	*ta̱ə̯m	Proto-Mon	to be thick; fat, dull-witted, stupid	
V185a	*c-m-təm	Proto-Monic	thickness (Noun); thick (Attributive)	thick (Attributive)
V185a.B	*cəmtə̱m	Proto-Nyah Kur	thick (Attributive)	
V185a.A	*həta̱ə̯m	Proto-Mon	thickness (Noun); thick (Attributive)	
V186	*tɯm	Proto-Monic	to know, be acquainted with	to come to feel, realise, come to awareness
V186.B	*tɯ̱m	Proto-Nyah Kur	to come to feel, realise, come to awareness	
V186.A	*tɒ̱i̯m	Proto-Mon	to know, be acquainted with	
V187	*dəm	Proto-Monic	to stay overnight	to sleep (chiming expression)
V187.B	*tə̤m	Proto-Nyah Kur	to sleep (chiming expression)	
V187.A	*tə̤m	Proto-Mon	to stay overnight	
V188	*nɔɔm	Proto-Monic	to be at, exist, have	(something) to exist (Intransitive Verb)
V188.B	*[ʔ]nɔ̱ɔm	Proto-Nyah Kur	(something) to exist (Intransitive Verb)	
V188.A	*nṳm	Proto-Mon	to be at, exist, have	
V189	*ɓum	Proto-Monic	to be blunt, to be stupid	(object, e.g. metal pot, knife blade, tooth...) to be dented (Intransitive Verb)
V189.B	*bu̱m	Proto-Nyah Kur	(object, e.g. metal pot, knife blade, tooth...) to be dented (Intransitive Verb)	
V189.A	*ɓa̱ə̯m	Proto-Mon	to be blunt, to be stupid	
V190	*k[r]ɓ[a/ə]m	Proto-Monic	to hold in the mouth	to hold (something) in one's mouth (Transitive Verb)
V190.B	*kə[r]ɓ[a̱/ə̱]m	Proto-Nyah Kur	to hold (something) in one's mouth (Transitive Verb)	
V190.A	*həɓɔ̱m	Proto-Mon	to hold in the mouth	
V191	*draam	Proto-Monic	to erect (barrier, trellis-work) across, along side of, road	to cut (grasses and bushes) from certain area (Transitive Verb); to clear (a field) of grass and bushes (Transitive Verb)
V191.B	*thra̤am	Proto-Nyah Kur	to cut (grasses and bushes) from certain area (Transitive Verb); to clear (a field) of grass and bushes (Transitive Verb)	
V191.A	*kra̤m	Proto-Mon	to erect (barrier, trellis-work) across, along side of, road	
V192	*krɔɔm	Proto-Monic		under (Preposition); the underpart of (something) (Noun)
V192.B	*krɔ̱ɔm	Proto-Nyah Kur	under (Preposition); the underpart of (something) (Noun)	
V192a	*k-n-rɔɔm	Proto-Monic		under (Preposition); the under-part of (especially the house) (Noun)
V192a.B	*kənrɔ̱ɔm	Proto-Nyah Kur	under (Preposition); the under-part of (especially the house) (Noun)	
V193	*grəm	Proto-Monic	to bind (the edge of a basket)	
V193.A	*krə̤m	Proto-Mon	to bind (the edge of a basket)	
V193a	*g-n-rəm	Proto-Monic	rim, edge	the edge, the rim (e.g. of a boat, of a river, of the mouth...)
V193a.B	*khənrə̤m	Proto-Nyah Kur	the edge, the rim (e.g. of a boat, of a river, of the mouth...)	
V193a.A	*hərə̤m	Proto-Mon	rim, edge	
V194	*grəəm	Proto-Monic	to cheer	(tiger, dog) to growl; (person) make an angry tone of voice before scolding; (angry crowd) make a disapproving murmur
V194.B	*khrə̤əm	Proto-Nyah Kur	(tiger, dog) to growl; (person) make an angry tone of voice before scolding; (angry crowd) make a disapproving murmur	
V194.A	*krə̤m	Proto-Mon	to cheer	
V195	*[d/g]-r-lum	Proto-Monic	to cover the face, veil oneself (with)	to cover (part or whole) (of self or someone else) (with blanket, cloth...)
V195.B	*[k/t]həlṳm	Proto-Nyah Kur	to cover (part or whole) (of self or someone else) (with blanket, cloth...)	
V195.A	*hələ̤m	Proto-Mon	to cover the face, veil oneself (with)	
V196	*[]ləm	Proto-Monic	to immerse oneself	to immerse something; to dip a fishhook
V196.B	*chələ̤m	Proto-Nyah Kur	to immerse something; to dip a fishhook	
V196.A	*kəla̱ə̯m	Proto-Mon	to immerse oneself	
V197	*ksaam	Proto-Monic	head cold	to transmit (a contagious disease) (Transitive Verb)
V197.B	*ɕa̱am	Proto-Nyah Kur	to transmit (a contagious disease) (Transitive Verb)	
V197.A	*cha̱m	Proto-Mon	head cold	
V198	*jaam	Proto-Monic	to weep	to weep
V198.B	*ja̤am	Proto-Nyah Kur	to weep	
V198.A	*ja̤m	Proto-Mon	to weep	
V199	*jum	Proto-Monic	to breathe	(humans, animals) to breathe (in or out) (Intransitive Verb)
V199.B	*jṳm	Proto-Nyah Kur	(humans, animals) to breathe (in or out) (Intransitive Verb)	
V199.A	*jə̤m	Proto-Mon	to breathe	
V199a	*jum-jum	Proto-Monic	life	heart
V199a.B	*jəmjṳm	Proto-Nyah Kur	heart	
V199a.A	*pəjə̤m	Proto-Mon	life	
V200	*hoom	Proto-Monic	to bathe	to bathe
V200.B	*ho̱om	Proto-Nyah Kur	to bathe	
V200.A	*hu̱m	Proto-Mon	to bathe	
V200a	*p-hoom	Proto-Monic	to bathe, wash (somebody, something) (Transitive Verb)	
V200a.A	*phu̱m	Proto-Mon	to bathe, wash (somebody, something) (Transitive Verb)	
V201	*giiw	Proto-Monic		to wrap (something) e.g. in leaves for cooking) (Transitive Verb)
V201.B	*ki̤iw	Proto-Nyah Kur	to wrap (something) e.g. in leaves for cooking) (Transitive Verb)	
V202	*s[r]ŋiəw	Proto-Monic	to glance covertly, to look out of the corner of one's eye	(eyes) to be narrowed; (eyebrows) to be frowned (Intransitive Verb)
V202.B	*ɕhəŋi̱aw	Proto-Nyah Kur	(eyes) to be narrowed; (eyebrows) to be frowned (Intransitive Verb)	
V202.A	*hi̤	Proto-Mon	to glance covertly, to look out of the corner of one's eye	
V203	*cəw	Proto-Monic	to return, go back, come back; to proceed to an arranged destination	to go back (home, to one's spouse ...); to go out (to someone's house, to visit someone) (Verb of Motion)
V203.B	*cɔ̱w	Proto-Nyah Kur	to go back (home, to one's spouse ...); to go out (to someone's house, to visit someone) (Verb of Motion)	
V203.A	*cɒ̱o̯	Proto-Mon	to return, go back, come back; to proceed to an arranged destination	
V204	*ktaw	Proto-Monic	hot	(person) to feel heat from (the sun) (Pseudo-Tanstitive Verb)
V204.B	*kəta̱w	Proto-Nyah Kur	(person) to feel heat from (the sun) (Pseudo-Tanstitive Verb)	
V204.A	*kəta̱o̯	Proto-Mon	hot	
V204a	*k-m-tww	Proto-Monic	hot (Attributive)	hot (Attributive)
V204a.B	*kəmta̱w	Proto-Nyah Kur	hot (Attributive)	
V204a.A	*həta̱o̯	Proto-Mon	hot (Attributive)	
V205	*taaw	Proto-Monic	to remain, be stationary, stand, stay, dwell, be located in, be steadfast; to endure	(person, animal) to be standing (Intransitive Verb)
V205.B	*-taaw	Proto-Nyah Kur	(person, animal) to be standing (Intransitive Verb)	
V205.A	*ta̱o̯	Proto-Mon	to remain, be stationary, stand, stay, dwell, be located in, be steadfast; to endure	
V205a	*-taaw	Proto-Monic	to stand, station oneself, be positioned	(something) to be standing (Intransitive Verb); (someone) to stand (something) up (Transitive Verb)
V205a.B	*pə-ta̱aw	Proto-Nyah Kur	(something) to be standing (Intransitive Verb); (someone) to stand (something) up (Transitive Verb)	
V205a.A	*həta̱o̯	Proto-Mon	to stand, station oneself, be positioned	
V206	*dəw	Proto-Monic	to run away, to stray	to hurry away; to escape (Verb of Motion)
V206.B	*tɔ̤w	Proto-Nyah Kur	to hurry away; to escape (Verb of Motion)	
V206.A	*tɛ̤ə̯	Proto-Mon	to run away, to stray	
V207	*triiw	Proto-Monic	to be (flat and) thin; to be sparse; to be quick-witted	(person) to be slim; (object, e.g. cloth) to be thin (Intransitive Verb)
V207.B	*tri̱w	Proto-Nyah Kur	(person) to be slim; (object, e.g. cloth) to be thin (Intransitive Verb)	
V207.A	*kri̱	Proto-Mon	to be (flat and) thin; to be sparse; to be quick-witted	
V208	*graw	Proto-Monic	to crow	(rooster) to crow (Intransitive Verb); only used for roosters
V208.B	*khra̤w	Proto-Nyah Kur	(rooster) to crow (Intransitive Verb); only used for roosters	
V208.A	*krɛ̤ə̯	Proto-Mon	to crow	
V209	*liiw	Proto-Monic	to wash one's face	to splash (water) (on one's face) etc.
V209.B	*li̤iw	Proto-Nyah Kur	to splash (water) (on one's face) etc.	
V209.A	*li̤	Proto-Mon	to wash one's face	
V210	*k[r]siəw	Proto-Monic	to whisper	to whisper (something to someone) (Transitive Verb)
V210.B	*kəɕi̱aw	Proto-Nyah Kur	to whisper (something to someone) (Transitive Verb)	
V210.A	*kəsi̱a̯	Proto-Mon	to whisper	
V211	*hiiw	Proto-Monic	to drift, to float	(liquid) to flow (from somewhere); (clouds) to drift (in the sky)
V211.B	*hi̱iw	Proto-Nyah Kur	(liquid) to flow (from somewhere); (clouds) to drift (in the sky)	
V211.A	*hi̱	Proto-Mon	to drift, to float	
V212	*ʔa(a)r	Proto-Monic	to go, to walk	to go (somewhere) (Verb of Motion); away, (time) to pass (Intransitive Verb)
V212.B	*ʔa̱(a)r	Proto-Nyah Kur	to go (somewhere) (Verb of Motion); away, (time) to pass (Intransitive Verb)	
V212.A	*ʔa̱	Proto-Mon	to go, to walk	
V213	*ʔɔɔr	Proto-Monic		to send (someone) (to do something); to order (someone) (to do something); to let (someone) (to do something) (Transitive Verb); Resultative Particle
V213.B	*ʔu̱ar	Proto-Nyah Kur	to send (someone) (to do something); to order (someone) (to do something); to let (someone) (to do something) (Transitive Verb); Resultative Particle	
V214	*snʔur	Proto-Monic	to snore	to snore (Intransitive Verb)
V214.B	*ɕənʔu̱r	Proto-Nyah Kur	to snore (Intransitive Verb)	
V214.A	*həʔi̱	Proto-Mon	to snore	
V215	*kiir	Proto-Monic		to dig (e.g. a hole); to dig (in a material, e.g. earth); to dig (e.g. a tuber, a bamboo rat) out (Transitive Verb)
V215.B	*ki̱ir	Proto-Nyah Kur	to dig (e.g. a hole); to dig (in a material, e.g. earth); to dig (e.g. a tuber, a bamboo rat) out (Transitive Verb)	
V216	*cŋkiər	Proto-Monic	unpleasant to hear (e.g. harsh words)	to be unpleasant (to the teeth) e.g. eating an unripe fruit (Intransitive Verb)
V216.B	*cəŋki̱ar	Proto-Nyah Kur	to be unpleasant (to the teeth) e.g. eating an unripe fruit (Intransitive Verb)	
V216.A	*həkə̱	Proto-Mon	unpleasant to hear (e.g. harsh words)	
V217	*ŋgiir	Proto-Monic	to search for among undergrowth or hair	to look for (something, someone) (Transitive Verb)
V217.B	*ki̤ir	Proto-Nyah Kur	to look for (something, someone) (Transitive Verb)	
V217.A	*ŋi̤	Proto-Mon	to search for among undergrowth or hair	
V218	*gər	Proto-Monic	to have flames, to blaze up, (fire) to shine	(fire) to blaze (Intransitive Verb)
V218.B	*kə̤r	Proto-Nyah Kur	(fire) to blaze (Intransitive Verb)	
V218.A	*kə̤	Proto-Mon	to have flames, to blaze up, (fire) to shine	
V219	*k[l]ŋaar	Proto-Monic	to turn something face up; to be the right way up; to lie on one's back	to turn (something e.g. a pot) face up (Transitive Verb); to be facing up (Intransitive Verb) (usually with Post-Verb /-Ɂə̱l/)
V219.B	*kəŋa̱ar	Proto-Nyah Kur	to turn (something e.g. a pot) face up (Transitive Verb); to be facing up (Intransitive Verb) (usually with Post-Verb /-Ɂə̱l/)	
V219.A	*[]əŋa̤ɛ̯	Proto-Mon	to turn something face up; to be the right way up; to lie on one's back	
V220	*[r/l]-ŋɔɔr	Proto-Monic	to prostrate oneself, make obeisance, worship	to pay respect to (someone) with joined hands (Transitive Verb)
V220.B	*(rə)ŋṳar	Proto-Nyah Kur	to pay respect to (someone) with joined hands (Transitive Verb)	
V220.A	*[]əŋo̤	Proto-Mon	to prostrate oneself, make obeisance, worship	
V221	*tuur	Proto-Monic	to be alight, be burning	(fire) to burn (something, e.g. a forest, some clothes, someone's hand...) (v.tr.); (fire) to be burning (Intransitive Verb)
V221.B	*tu̱ur	Proto-Nyah Kur	(fire) to burn (something, e.g. a forest, some clothes, someone's hand...) (v.tr.); (fire) to be burning (Intransitive Verb)	
V221.A	*tɒ̱u̯	Proto-Mon	to be alight, be burning	
V222	*təər	Proto-Monic	to wake up (by oneself), get up	to get up (from sleep) (Verb of Motion)
V222.B	*tə̱ər	Proto-Nyah Kur	to get up (from sleep) (Verb of Motion)	
V222.A	*tɒ̱ɨ̯	Proto-Mon	to wake up (by oneself), get up	
V222a	*k-təər	Proto-Monic	to stand up, get up	to wake (someone) up (Transitive Verb)
V222a.B	*kətə̱ər	Proto-Nyah Kur	to wake (someone) up (Transitive Verb)	
V222a.A	*kətɒ̱ɨ̯	Proto-Mon	to stand up, get up	
V223	*par	Proto-Monic	to fly	expressive describing a long leap (e.g. of certain frogs)
V223.B	*pa̱r	Proto-Nyah Kur	expressive describing a long leap (e.g. of certain frogs)	
V223.A	*pɔ̱o̯	Proto-Mon	to fly	
V224	*bur-bur	Proto-Monic	(ants, flies) to swarm, to cover something	(ants, flies, bees...) to swarm on (something) (Verb of Motion)
V224.B	*pṳr-pṳr	Proto-Nyah Kur	(ants, flies, bees...) to swarm on (something) (Verb of Motion)	
V224.A	*həpə̤	Proto-Mon	(ants, flies) to swarm, to cover something	
V225	*maar	Proto-Monic	to crouch, to kneel with bowed head as a mark of respect	to crawl (as a baby) (Verb of Motion)
V225.B	*ma̤ar	Proto-Nyah Kur	to crawl (as a baby) (Verb of Motion)	
V225.A	*ma̤ɛ̯	Proto-Mon	to crouch, to kneel with bowed head as a mark of respect	
V225a	*mar-maar	Proto-Monic	to crawl (as a baby)	(adult, infant) to crawl (Verb of Motion)
V225a.B	*marma̤ar	Proto-Nyah Kur	(adult, infant) to crawl (Verb of Motion)	
V225a.A	*həmɛ̤ə̯	Proto-Mon	to crawl (as a baby)	
V226	*k[]mur	Proto-Monic	to roof a house	to roof (a house) (with e.g. thatch) (Transitive Verb)
V226.B	*kəmu̱r	Proto-Nyah Kur	to roof (a house) (with e.g. thatch) (Transitive Verb)	
V226.A	*kəmi̱	Proto-Mon	to roof a house	
V227	*c[r]muur	Proto-Monic	to roll up (e.g. a mat)	to roll (e.g. a mat, a cigar...) into a roll (Transitive Verb)
V227.B	*chəmu̱ur	Proto-Nyah Kur	to roll (e.g. a mat, a cigar...) into a roll (Transitive Verb)	
V227.A	*həmɒ̱u̯	Proto-Mon	to roll up (e.g. a mat)	
V228	*ɟwɔɔr	Proto-Monic	(liquid) to flow	(tuber) to reach deep inside the ground (Intransitive Verb)
V228.B	*chṳar	Proto-Nyah Kur	(tuber) to reach deep inside the ground (Intransitive Verb)	
V228.A	*khwo̤	Proto-Mon	(liquid) to flow	
V228a	*ɟ-[]-wɔɔr	Proto-Monic	to cause to flow, allow to flow	to slowly lower down (e.g. a bucket) on a rope (Transitive Verb)
V228a.B	*chṳar	Proto-Nyah Kur	to slowly lower down (e.g. a bucket) on a rope (Transitive Verb)	
V228a.A	*həwo̤	Proto-Mon	to cause to flow, allow to flow	
V229	*siər	Proto-Monic	to grind (e.g. paddy)	
V229.A	*se̱	Proto-Mon	to grind (e.g. paddy)	
V229a	*s-[]n-iər	Proto-Monic	green vegetables	curry (Noun)
V229a.B	*ɕhəni̱ar	Proto-Nyah Kur	curry (Noun)	
V229a.A	*həne̱	Proto-Mon	green vegetables	
V230	*sar	Proto-Monic	to be low to the ground, short of stature	(person, standing object) to be short; (the top of, e.g. mountains, clouds, sky) to be low down (Intransitive Verb); low (Adverb)
V230.B	*ɕa̱r	Proto-Nyah Kur	(person, standing object) to be short; (the top of, e.g. mountains, clouds, sky) to be low down (Intransitive Verb); low (Adverb)	
V230.A	*sɔ̱o̯	Proto-Mon	to be low to the ground, short of stature	
V231	*sɔɔr	Proto-Monic		to blow (mucus) out of one's nose e.g. by closing a nostril with one's thumb (Transitive Verb)
V231.B	*ɕu̱ar	Proto-Nyah Kur	to blow (mucus) out of one's nose e.g. by closing a nostril with one's thumb (Transitive Verb)	
V231a	*s-n-m-ɔɔr	Proto-Monic	nasal mucus	
V231a.A	*həmo̱	Proto-Mon	nasal mucus	
V232	*ksuur	Proto-Monic	to sharpen a knife	to sharpen (a blade) (on a wet stone); to grind (medicine) by rubbing it on a stone (Transitive Verb)
V232.B	*ɕu̱ur	Proto-Nyah Kur	to sharpen (a blade) (on a wet stone); to grind (medicine) by rubbing it on a stone (Transitive Verb)	
V232.A	*chu̱	Proto-Mon	to sharpen a knife	
V232a	*k-n-suur	Proto-Monic		whetstone (Noun)
V232a.B	*kəɲɕu̱ur	Proto-Nyah Kur	whetstone (Noun)	
V233	*jɯr	Proto-Monic		(flesh) to be loose and sagging (Intransitive Verb)
V233.B	*jɯ̤r	Proto-Nyah Kur	(flesh) to be loose and sagging (Intransitive Verb)	
V233a	*jər-jɯr	Proto-Monic		(body) to shake, due to fever or old age (Intransitive Verb)
V233a.B	*jər-jɯ̤r	Proto-Nyah Kur	(body) to shake, due to fever or old age (Intransitive Verb)	
V233b	*[k]-jɯr	Proto-Monic	to tremble, quiver, be loose in socket	
V233b.A	*chi̱	Proto-Mon	to tremble, quiver, be loose in socket	
V234	*ʔəl	Proto-Monic		to put (something) down or away; to keep (something) on oneself, or away (Transitive Verb); as a Post-Verb indicates that the result of an action is stable or permanent
V234.B	*ʔə̱l	Proto-Nyah Kur	to put (something) down or away; to keep (something) on oneself, or away (Transitive Verb); as a Post-Verb indicates that the result of an action is stable or permanent	
V234a	*d-ʔəl	Proto-Monic		
V235	*kal	Proto-Monic	to snap (Intransitive Verb)	(long object) to break by itself; snap in two (Intransitive Verb)
V235.B	*ka̱l	Proto-Nyah Kur	(long object) to break by itself; snap in two (Intransitive Verb)	
V235.A	*kɔ̱o̯	Proto-Mon	to snap (Intransitive Verb)	
V236	*kul	Proto-Monic	to give, to pay, to send (letter)	to give (Transitive Verb); for the benefit of (N) (Preposition); to let (S) happen; to do (S) for someone's benefit
V236.B	*ku̱l	Proto-Nyah Kur	to give (Transitive Verb); for the benefit of (N) (Preposition); to let (S) happen; to do (S) for someone's benefit	
V236.A	*kɒ̱ɨ̯	Proto-Mon	to give, to pay, to send (letter)	
V237	*ɟəl	Proto-Monic	to quarrel, to brawl	(horned animals, roosters) to fight (with horns, spurs...); (people, cars, heads) to bump into (obstacles, each other...) (Transitive Verb)
V237.B	*ɕə̤l	Proto-Nyah Kur	(horned animals, roosters) to fight (with horns, spurs...); (people, cars, heads) to bump into (obstacles, each other...) (Transitive Verb)	
V237.A	*cə̤	Proto-Mon	to quarrel, to brawl	
V238	*təl	Proto-Monic	to plant	to plant (seeds, cuttings...); to set (posts, house poles...); to remember, think about etc.
V238.B	*tə̱l	Proto-Nyah Kur	to plant (seeds, cuttings...); to set (posts, house poles...); to remember, think about etc.	
V238.A	*tɒ̱ɨ̯	Proto-Mon	to plant	
V239	*[k]ɗaal	Proto-Monic	shallow	(river, container) to be shallow (Intransitive Verb); not deeply (e.g. a thorn penetrates -) (Adverb); not seriously (e.g. to think -, to speak -) (Adverb)
V239.B	*[khə]da̱al	Proto-Nyah Kur	(river, container) to be shallow (Intransitive Verb); not deeply (e.g. a thorn penetrates -) (Adverb); not seriously (e.g. to think -, to speak -) (Adverb)	
V239.A	*ɗa̱	Proto-Mon	shallow	
V240	*b[jə]l	Proto-Monic	hungry	hungry
V240.B	*pi̤il	Proto-Nyah Kur	hungry	
V240.A	*pjə̤	Proto-Mon	hungry	
V241	*ɓuul	Proto-Monic		to be intoxicated with (e.g. alcohol, ganja, poisonous mushrooms...); to be enamoured (a woman) (Pseudo-Transitive Verb)
V241.B	*bu̱ul	Proto-Nyah Kur	to be intoxicated with (e.g. alcohol, ganja, poisonous mushrooms...); to be enamoured (a woman) (Pseudo-Transitive Verb)	
V241b	*[bəl]-ɓuul	Proto-Monic	intoxicated	
V241b.A	*həɓu̱	Proto-Mon	intoxicated	
V242	*[]mal	Proto-Monic	to be fragrant, sweet-smelling	good tasting (chiming expression)
V242.B	*[ʔ]ma̱l	Proto-Nyah Kur	good tasting (chiming expression)	
V242.A	*mo̤	Proto-Mon	to be fragrant, sweet-smelling	
V242a	*[m-r]-mal	Proto-Monic	fragrance, perfume	
V242a.A	*həma̱o̯	Proto-Mon	fragrance, perfume	
V243	*wiil	Proto-Monic		to go around (something) (Verb of Motion)
V243.B	*wi̤il	Proto-Nyah Kur	to go around (something) (Verb of Motion)	
V243a	*tr-wiil	Proto-Monic	to attend on (someone); to cause (someone) to attend on (someone); to take (someone) in one's train	to make (something) rotate (Transitive Verb); to turn upon (oneself) (Verb Reflexive)
V243a.B	*təwi̱il	Proto-Nyah Kur	to make (something) rotate (Transitive Verb); to turn upon (oneself) (Verb Reflexive)	
V243a.A	*[p/k]əwi̱	Proto-Mon	to attend on (someone); to cause (someone) to attend on (someone); to take (someone) in one's train	
V244	*saal	Proto-Monic	to lay out, to spread, to lay on (e.g. leaves, mats...); to unroll	to make (bamboo, rattan) strips (with a special tool having a shot blade and a long handle) (Transitive Verb); the strips are used for tying or for making mats
V244.B	*ɕa̱al	Proto-Nyah Kur	to make (bamboo, rattan) strips (with a special tool having a shot blade and a long handle) (Transitive Verb); the strips are used for tying or for making mats	
V244.A	*sa̱	Proto-Mon	to lay out, to spread, to lay on (e.g. leaves, mats...); to unroll	
V244a	*k[]saal	Proto-Monic	split bamboo fiber used for lashings (Noun)	
V244a.A	*cha̱	Proto-Mon	split bamboo fiber used for lashings (Noun)	
V244b	*s-n-aal	Proto-Monic	mat, bamboo mat (used for drying food in the sun)	
V244b.A	*hna̱	Proto-Mon	mat, bamboo mat (used for drying food in the sun)	
V245	*[c--]jaal	Proto-Monic	to be light in weight, moderate in degree, gentle, soft, nimble	to be light in weight (Intransitive Verb)
V245.B	*[c/k]həja̱al	Proto-Nyah Kur	to be light in weight (Intransitive Verb)	
V245.A	*sa̱	Proto-Mon	to be light in weight, moderate in degree, gentle, soft, nimble	
V245a	*[c]-m-jaal	Proto-Monic		light in weight (Attributive)
V245a.B	*[c/k]həmja̱al	Proto-Nyah Kur	light in weight (Attributive)	
V246	*[c]nʔas	Proto-Monic	to sneeze	to sneeze (Intransitive Verb) to sneeze due to (something, e.g. the smell of frying chilli) (Pseudo-transitive Verb)
V246.B	*[c]ənʔa̱j̊	Proto-Nyah Kur	to sneeze (Intransitive Verb) to sneeze due to (something, e.g. the smell of frying chilli) (Pseudo-transitive Verb)	
V246.A	*həʔɔ̱h	Proto-Mon	to sneeze	
V247	*lʔuus	Proto-Monic	ripe	(fruit) to be fully ripe (Intransitive Verb)
V247.B	*ləʔu̱uj̊	Proto-Nyah Kur	(fruit) to be fully ripe (Intransitive Verb)	
V247.A	*ɗu̱h	Proto-Mon	ripe	
V247a	*l-m-ʔuus	Proto-Monic		
V248	*ckas	Proto-Monic	(e.g. leaves) to be dry	(e.g. cloth, fish, earth, air) to be dry; (river, water) to have dried up (Intransitive Verb)
V248.B	*cəka̱j̊	Proto-Nyah Kur	(e.g. cloth, fish, earth, air) to be dry; (river, water) to have dried up (Intransitive Verb)	
V248.A	*kɔ̱h	Proto-Mon	(e.g. leaves) to be dry	
V248a	*c-m-kas	Proto-Monic		
V249	*gus	Proto-Monic	to regret the loss of, miss, to go short of	to regret the loss or absence of (someone, something) (Transitive Verb)
V249.B	*kṳj̊	Proto-Nyah Kur	to regret the loss or absence of (someone, something) (Transitive Verb)	
V249.A	*kə̤h	Proto-Mon	to regret the loss of, miss, to go short of	
V250	*guus	Proto-Monic	(part of the body) to swell	(body part, skin) to be swollen due to insect bite, bruise... (Intransitive Verb)
V250.B	*kṳuj̊	Proto-Nyah Kur	(body part, skin) to be swollen due to insect bite, bruise... (Intransitive Verb)	
V250.A	*kṳh	Proto-Mon	(part of the body) to swell	
V251	*cis	Proto-Monic	to go down, descend	to go down to (a place), (from somewhere) (Verb of Motion); downwards (Adverb)
V251.B	*ci̱h	Proto-Nyah Kur	to go down to (a place), (from somewhere) (Verb of Motion); downwards (Adverb)	
V251.A	*cə̱h	Proto-Mon	to go down, descend	
V252	*ɟas	Proto-Monic	to have a fever	to have a fever (Intransitive Verb)
V252.B	*ca̤j̊	Proto-Nyah Kur	to have a fever (Intransitive Verb)	
V252.A	*cɔ̤h	Proto-Mon	to have a fever	
V253	*das	Proto-Monic	to be, to become	to be identical to (something); to be included in (a category); to perform as (a function); to have (a disease) (Pseudo-transitive Verb)
V253.B	*ta̤j̊	Proto-Nyah Kur	to be identical to (something); to be included in (a category); to perform as (a function); to have (a disease) (Pseudo-transitive Verb)	
V253.A	*tɔ̤h	Proto-Mon	to be, to become	
V254	*pas	Proto-Monic		to pick (something) up (from the ground) (Transitive Verb)
V254.B	*pa̱j̊	Proto-Nyah Kur	to pick (something) up (from the ground) (Transitive Verb)	
V254a	*()pas	Proto-Monic	to pick up	
V254a.A	*[k]əpɔ̱h	Proto-Mon	to pick up	
V255	*ɓas	Proto-Monic	to pluck, pick up (flowers, fruits)	to pluck (flowers, fruits) with the hand by pulling or twisting (Transitive Verb)
V255.B	*ba̱j̊	Proto-Nyah Kur	to pluck (flowers, fruits) with the hand by pulling or twisting (Transitive Verb)	
V255.A	*ɓɔ̱h	Proto-Mon	to pluck, pick up (flowers, fruits)	
V256	*twas	Proto-Monic	to sweep	to brush (something) away gently, by hand or with a cloth (not with a broom) (Transitive Verb)
V256.B	*thwa̱j̊	Proto-Nyah Kur	to brush (something) away gently, by hand or with a cloth (not with a broom) (Transitive Verb)	
V256.A	*kwɔ̱h	Proto-Mon	to sweep	
V256a	*t-n-was	Proto-Monic	bundle of twigs or rice-stalks used for sweeping	broom (Noun)
V256a.B	*thənwa̱j̊	Proto-Nyah Kur	broom (Noun)	
V256a.A	*kəmɔ̱h	Proto-Mon	bundle of twigs or rice-stalks used for sweeping	
V257	*kraas	Proto-Monic		to sweep (something) (with a broom) (Transitive Verb)
V257.B	*kra̱aj̊	Proto-Nyah Kur	to sweep (something) (with a broom) (Transitive Verb)	
V257a	*k-n-raas	Proto-Monic		broom
V257a.B	*kənra̱aj̊	Proto-Nyah Kur	broom	
V257b	*graas	Proto-Monic	to harrow (a field), to comb (hair)	
V257b.B	*krɛ̤ə̯h	Proto-Nyah Kur		
V257c	*g-n-raas	Proto-Monic	a rake, a comb	
V257c.A	*hərɛ̤ə̯h	Proto-Mon	a rake, a comb	
V258	*pruus	Proto-Monic	to squirt from mouth or trunk	(person, snake, elephant...) to squirt (air, a liquid...) (from mouth, trunk) (Transitive Verb)
V258.B	*pru̱uj̊	Proto-Nyah Kur	(person, snake, elephant...) to squirt (air, a liquid...) (from mouth, trunk) (Transitive Verb)	
V258.A	*pru̱h	Proto-Mon	to squirt from mouth or trunk	
V259	*laas	Proto-Monic	to lay out, spread something on the floor	to lay open (a mat, a piece of cloth...) open (e.g. on the floor) (Transitive Verb)
V259.B	*la̤aj̊	Proto-Nyah Kur	to lay open (a mat, a piece of cloth...) open (e.g. on the floor) (Transitive Verb)	
V259.A	*lɛ̤ə̯h	Proto-Mon	to lay out, spread something on the floor	
V260	*ləs	Proto-Monic	to come untwisted, undone	
V260.A	*lə̤h	Proto-Mon	to come untwisted, undone	
V260a	*k-ləs	Proto-Monic		(spring-trap, arrow) to be released (Intransitive Verb)
V260a.B	*khlə̱j̊	Proto-Nyah Kur	(spring-trap, arrow) to be released (Intransitive Verb)	
V260b	*p-ləs	Proto-Monic	to unwind, unfold, untwist, unloose; to come unwound	
V260b.A	*plɒ̱ɨ̯h	Proto-Mon	to unwind, unfold, untwist, unloose; to come unwound	
V260c	*t[r]ləs	Proto-Monic		to release (trap mechanism, arrow) (Transitive Verb)
V260c.B	*tələ̱j̊	Proto-Nyah Kur	to release (trap mechanism, arrow) (Transitive Verb)	
